year,team,year_team,seed,Finish,First_Rd,Second_Rd,Sweet_Sixteen,Elite_Eight,Final_Four,Championship,Pts,AdjEM,AdjO,AdjD,AdjT,Luck,Seas_PPG,Seas_Succ_3PT,Seas_3PT_Per,Seas_FT_Succ,Seas_3PT_Rate,Seas_Off_Rebound_Per,Seas_Def_Rebound_Per,Seas_Turnovers,Seas_Fouls,Seas_Opp_PPG,Seas_Opp_3PT_Succ,Seas_Opp_3PT_Rate,Seas_Opp_Off_Rebound,Seas_Opp_Def_Rebound,Seas_Opp_Turnover,Seas_Opp_Fouls,Seas_Poss
2012,Kentucky,2012Kentucky,1,7,1,1,1,1,1,1,63,32.59,122.2,89.6,65.4,0.032,76.7,0.224,0.371,0.72,0.273,0.376,0.719,11.3,14.5,59,0.321,0.3,0.281,0.624,11.7,18.3,67.6
2012,Duke,2012Duke,2,1,0,0,0,0,0,0,0,19.7,117.7,98,66.4,0.057,77.5,0.314,0.376,0.702,0.384,0.335,0.686,12.1,18.2,68.5,0.317,0.239,0.314,0.665,12.8,20.8,69.9
2012,Baylor,2012Baylor,3,4,1,1,1,0,0,0,7,21.29,116,94.7,65.6,0.059,74.3,0.272,0.376,0.752,0.319,0.37,0.693,13.8,17.6,65.3,0.339,0.33,0.307,0.63,14.4,18.8,68.8
2012,Indiana,2012Indiana,4,3,1,1,0,0,0,0,3,22.55,120.2,97.6,66.7,0.007,77.3,0.248,0.433,0.762,0.277,0.335,0.713,12.6,17.6,65.5,0.349,0.317,0.287,0.665,13.2,20.7,68.3
2012,Wichita St,2012Wichita St,5,1,0,0,0,0,0,0,0,22.36,116.1,93.8,65.7,-0.017,76.9,0.273,0.37,0.753,0.331,0.325,0.767,11.8,17,62.7,0.314,0.324,0.233,0.675,12.5,18.1,69.2
2012,UNLV,2012UNLV,6,1,0,0,0,0,0,0,0,14.97,109.2,94.2,68.7,0.006,75.9,0.328,0.373,0.684,0.385,0.317,0.722,13.6,17.4,66.3,0.331,0.33,0.278,0.683,14.5,18.3,71.6
2012,Notre Dame,2012Notre Dame,7,1,0,0,0,0,0,0,0,14.22,110.9,96.7,60.2,0.032,66.5,0.29,0.329,0.708,0.368,0.292,0.702,9.8,13.7,61.5,0.31,0.281,0.298,0.708,10.5,17.9,63.9
2012,Iowa St,2012Iowa St,8,2,1,0,0,0,0,0,1,16.69,113.9,97.2,65.8,-0.004,73.2,0.364,0.38,0.679,0.422,0.312,0.748,12.5,16,66.7,0.298,0.317,0.252,0.688,11.6,18.4,68.5
2012,Michigan St,2012Michigan St,1,3,1,1,0,0,0,0,3,27.87,114.7,86.9,64.3,-0.027,72.1,0.23,0.366,0.697,0.278,0.359,0.75,12.8,17.5,59.1,0.292,0.356,0.25,0.641,12.8,18.6,66.9
2012,Missouri,2012Missouri,2,1,0,0,0,0,0,0,0,25.28,125.1,99.8,65.4,0.017,80.3,0.308,0.396,0.766,0.374,0.294,0.696,10.2,14.1,65.7,0.364,0.308,0.304,0.706,14.4,18.6,67.8
2012,Marquette,2012Marquette,3,3,1,1,0,0,0,0,3,20.22,111.5,91.3,70,0.042,75.9,0.225,0.337,0.721,0.292,0.328,0.649,13.2,17.8,66.2,0.321,0.323,0.351,0.672,16.3,20.1,71.9
2012,Louisville,2012Louisville,4,5,1,1,1,1,0,0,15,20.67,106.2,85.5,66.1,0.031,68.8,0.257,0.311,0.686,0.332,0.347,0.684,14.4,17.8,61.2,0.308,0.32,0.316,0.653,15.4,18.9,69.7
2012,New Mexico,2012New Mexico,5,2,1,0,0,0,0,0,1,19.45,110.8,91.4,65.5,0.003,72.6,0.318,0.385,0.713,0.369,0.323,0.751,13.2,17.6,59.7,0.309,0.365,0.249,0.677,14,19.6,68
2012,Murray St,2012Murray St,6,2,1,0,0,0,0,0,1,15.34,108.5,93.2,65,0.031,74.2,0.3,0.407,0.728,0.352,0.338,0.677,13.9,18.3,62.4,0.295,0.271,0.323,0.662,15.9,20.4,68.3
2012,Florida,2012Florida,7,4,1,1,1,0,0,0,7,22.47,120.4,98,64.2,-0.043,76.3,0.391,0.39,0.712,0.445,0.318,0.714,11,15.8,66,0.356,0.318,0.286,0.682,12.8,17.9,67.7
2012,Memphis,2012Memphis,8,1,0,0,0,0,0,0,0,21.9,114.2,92.3,67.5,-0.064,75.3,0.214,0.369,0.72,0.269,0.29,0.697,12.7,19.1,63.1,0.31,0.311,0.303,0.71,13.9,18.6,69.7
2012,Syracuse,2012Syracuse,1,4,1,1,1,0,0,0,7,26.04,117.7,91.7,64.4,0.06,74.6,0.257,0.345,0.691,0.313,0.357,0.637,10.3,15.1,60.4,0.306,0.361,0.363,0.643,16.1,17.1,67.6
2012,Ohio St,2012Ohio St,2,5,1,1,1,1,0,0,15,30.07,118.1,88.1,66.9,-0.05,74.8,0.195,0.325,0.698,0.261,0.35,0.776,11.5,16.1,59.1,0.322,0.354,0.224,0.65,14.7,18.3,67.7
2012,Florida St,2012Florida St,3,2,1,0,0,0,0,0,1,17.14,107.6,90.4,66.6,0.034,70.3,0.262,0.353,0.703,0.316,0.347,0.696,16.2,18.8,62.9,0.305,0.369,0.304,0.653,15.1,18.5,70.3
2012,Wisconsin,2012Wisconsin,4,3,1,1,0,0,0,0,3,24.09,113.7,89.6,57.5,-0.018,63.9,0.357,0.361,0.741,0.404,0.293,0.74,8.9,14.2,52.9,0.289,0.24,0.26,0.707,10.8,16.9,60.6
2012,Vanderbilt,2012Vanderbilt,5,2,1,0,0,0,0,0,1,20.9,115.6,94.7,64.7,-0.048,72.9,0.356,0.389,0.698,0.413,0.311,0.695,12.9,16,65,0.307,0.314,0.305,0.689,12.4,18.2,67.7
2012,Cincinnati,2012Cincinnati,6,3,1,1,0,0,0,0,3,16.03,109.5,93.5,62.9,0.023,68.5,0.313,0.343,0.641,0.349,0.35,0.678,10.4,15.1,61.2,0.317,0.309,0.322,0.65,13.9,15.5,66.4
2012,Gonzaga,2012Gonzaga,7,2,1,0,0,0,0,0,1,18.39,113.1,94.7,64.8,-0.018,74,0.259,0.376,0.715,0.322,0.321,0.746,13,15.2,63.2,0.312,0.338,0.254,0.679,12.8,20.6,68.6
2012,Kansas St,2012Kansas St,8,2,1,0,0,0,0,0,1,17.52,109.8,92.3,66.5,-0.024,71.4,0.24,0.342,0.666,0.297,0.391,0.69,14.3,20.1,63.7,0.318,0.313,0.31,0.609,16.1,22.2,69.6
2012,North Carolina,2012North Carolina,1,4,1,1,1,0,0,0,7,25.44,116.1,90.7,70.9,0.016,82,0.185,0.339,0.682,0.229,0.392,0.748,11.8,14.8,66.9,0.319,0.359,0.252,0.608,13.4,20.8,74.5
2012,Kansas,2012Kansas,2,6,1,1,1,1,1,0,31,26.91,114,87.1,66.3,0.027,75,0.24,0.358,0.696,0.305,0.331,0.731,13.2,17.6,61.9,0.347,0.322,0.269,0.669,13.7,18.5,68.8
2012,Georgetown,2012Georgetown,3,2,1,0,0,0,0,0,1,21.05,111.2,90.1,62.1,-0.014,68.4,0.24,0.343,0.696,0.301,0.349,0.728,12.5,17.8,59.1,0.266,0.325,0.272,0.651,12.6,18.9,65.8
2012,Michigan,2012Michigan,4,1,0,0,0,0,0,0,0,17.52,114.3,96.8,60.1,0.058,66.8,0.365,0.353,0.722,0.442,0.266,0.706,10.7,15.7,62.3,0.35,0.331,0.294,0.734,12.2,15.9,62.8
2012,Temple,2012Temple,5,1,0,0,0,0,0,0,0,14.49,113.3,98.9,65.9,0.055,76,0.288,0.402,0.718,0.313,0.306,0.697,12.3,17.7,69.9,0.336,0.285,0.303,0.694,13.3,17.2,70.5
2012,San Diego St,2012San Diego St,6,1,0,0,0,0,0,0,0,11.16,107,95.8,65.8,0.059,70.1,0.239,0.339,0.702,0.296,0.294,0.743,12.6,16.1,64.3,0.337,0.361,0.257,0.706,12.3,18.2,68.5
2012,St Marys,2012St Marys,7,1,0,0,0,0,0,0,0,15.48,114.3,98.8,63.4,0.036,73.8,0.293,0.344,0.729,0.385,0.359,0.759,11.7,15.9,62.9,0.368,0.268,0.241,0.641,11.9,19,65.7
2012,Creighton,2012Creighton,8,2,1,0,0,0,0,0,1,16.47,119.2,102.7,65.9,0.079,80,0.307,0.425,0.733,0.35,0.301,0.756,12.1,17,69.5,0.356,0.309,0.244,0.699,10.2,18.9,69.1
2012,Lehigh,2012Lehigh,15,2,1,0,0,0,0,0,1,9.29,108.6,99.3,67.6,-0.026,75.6,0.294,0.355,0.774,0.361,0.287,0.724,11.5,17.8,65.4,0.333,0.322,0.276,0.713,14.6,18.7,70.6
2012,Norfolk St,2012Norfolk St,15,2,1,0,0,0,0,0,1,-1.82,100.9,102.7,66.6,0.189,69.6,0.23,0.314,0.657,0.314,0.32,0.696,14.6,19.1,66.8,0.305,0.32,0.304,0.68,13.3,20.1,70.8
2012,Ohio,2012Ohio,13,3,1,1,0,0,0,0,3,11.88,106.6,94.7,66,0.022,70.2,0.309,0.333,0.681,0.381,0.347,0.669,13.2,19.8,62.7,0.303,0.355,0.331,0.653,17.5,19.3,68.6
2012,Xavier,2012Xavier,10,3,1,1,0,0,0,0,3,12.59,108.7,96.1,66.4,0.031,70.8,0.207,0.349,0.692,0.252,0.3,0.724,12.7,18.7,67.5,0.306,0.357,0.276,0.7,12.7,19.3,70.3
2012,Western Kentucky,2012Western Kentucky,16,1,0,0,0,0,0,0,0,-2.67,97.8,100.5,67.9,0.083,65.1,0.261,0.308,0.693,0.333,0.318,0.691,14.8,19.8,68,0.333,0.256,0.309,0.682,14.3,19.4,69.9
2012,South Dakota St,2012South Dakota St,14,1,0,0,0,0,0,0,0,11.62,113.7,102.1,64.8,0.03,76.4,0.32,0.393,0.73,0.371,0.29,0.734,10.2,16.2,66.6,0.324,0.315,0.266,0.71,12.6,19.4,67.9
2012,New Mexico St,2012New Mexico St,13,1,0,0,0,0,0,0,0,11.22,109.3,98.1,69.4,-0.041,77.4,0.177,0.328,0.664,0.246,0.405,0.727,14.5,17.9,68.1,0.32,0.316,0.273,0.595,14.3,22.2,72.2
2012,VCU,2012VCU,12,2,1,0,0,0,0,0,1,13.45,106.9,93.5,65,0.024,68.4,0.325,0.337,0.689,0.388,0.325,0.683,11.2,18.2,59.8,0.318,0.304,0.317,0.675,17.5,18.7,66.8
2012,Colorado,2012Colorado,11,2,1,0,0,0,0,0,1,8.89,104.8,95.9,65.1,0.081,66.3,0.252,0.341,0.687,0.316,0.273,0.734,12.3,17.1,63.6,0.329,0.345,0.266,0.727,12,17.7,66.7
2012,Connecticut,2012Connecticut,9,1,0,0,0,0,0,0,0,14.53,111.3,96.8,63,-0.032,68.8,0.235,0.331,0.661,0.292,0.369,0.677,12.3,14.3,64.1,0.343,0.352,0.323,0.631,10.5,17.2,66.4
2012,Long Island Brooklyn,2012Long Island Brooklyn,16,1,0,0,0,0,0,0,0,0.75,108.7,107.9,73.4,0.117,81.9,0.241,0.368,0.731,0.312,0.327,0.67,15.9,15.8,77.4,0.328,0.28,0.33,0.673,13.6,23.5,76.7
2012,BYU,2012BYU,14,1,0,0,0,0,0,0,0,12.79,106.3,93.5,72.6,0.02,78.4,0.261,0.348,0.709,0.326,0.281,0.763,12.8,18.4,67.6,0.315,0.363,0.237,0.719,15.4,19,74.2
2012,Davidson,2012Davidson,13,1,0,0,0,0,0,0,0,10.65,112,101.4,67.4,0.008,77.4,0.3,0.34,0.769,0.385,0.335,0.759,11.8,20.5,67.9,0.34,0.278,0.241,0.665,12.1,19.6,70.7
2012,Long Beach St,2012Long Beach St,12,1,0,0,0,0,0,0,0,15.27,111.7,96.4,66.4,-0.047,73.8,0.269,0.358,0.672,0.336,0.333,0.709,12.7,15.7,64.6,0.342,0.317,0.291,0.667,14.5,19.5,68.9
2012,Colorado St,2012Colorado St,11,1,0,0,0,0,0,0,0,8.17,111.9,103.7,63.6,0.075,71,0.253,0.405,0.769,0.292,0.266,0.726,12.2,18.8,68.4,0.357,0.384,0.274,0.734,11.9,19.1,66.4
